iter	Passed	Remaining
1485	204550	70753
1486	204771	70644
1487	204975	70529
1488	205190	70417
1489	205406	70306
1490	205623	70196
1491	205861	70092
1492	206067	69977
1493	206275	69863
1494	206473	69745
1495	206675	69628
1496	206893	69517
1497	207092	69399
1498	207301	69284
1499	207499	69166
1500	207711	69052
1501	207911	68934
1502	208120	68819
1503	208321	68701
1504	208538	68588
1505	208761	68478
1506	208982	68366
1507	209201	68254
1508	209410	68138
1509	209623	68023
1510	209845	67911
1511	210057	67796
1512	210278	67683
1513	210495	67569
1514	210701	67452
1515	210900	67332
1516	211126	67220
1517	211350	67108
1518	211543	66986
1519	211748	66867
1520	211973	66755
1521	212156	66629
1522	212301	66492
1523	212437	66351
1524	212574	66211
1525	212720	66074
1526	212865	65936
1527	213006	65797
1528	213153	65660
1529	213295	65522
1530	213450	65387
1531	213596	65249
1532	213759	65118
1533	213984	65004
1534	214190	64885
1535	214393	64764
1536	214602	64646
1537	214799	64523
1538	215019	64407
1539	215230	64289
1540	215453	64174
1541	215677	64059
1542	215888	63941
1543	216108	63824
1544	216333	63709
1545	216567	63597
1546	216774	63476
1547	216979	63355
1548	217174	63231
1549	217373	63108
1550	217585	62989
1551	217799	62869
1552	218005	62748
1553	218227	62631
1554	218430	62509
1555	218633	62386
1556	218826	62260
1557	219039	62140
1558	219255	62021
1559	219465	61900
1560	219674	61778
1561	219876	61655
1562	220087	61534
1563	220318	61418
1564	220521	61295
1565	220736	61174
1566	220955	61055
1567	221160	60931
1568	221360	60807
1569	221582	60688
1570	221788	60564
1571	221995	60441
1572	222204	60318
1573	222414	60196
1574	222621	60072
1575	222825	59948
1576	223023	59821
1577	223236	59699
1578	223425	59570
1579	223626	59445
1580	223833	59320
1581	224042	59197
1582	224267	59077
1583	224469	58951
1584	224659	58822
1585	224865	58697
1586	225079	58574
1587	225293	58451
1588	225500	58326
1589	225698	58199
1590	225916	58076
1591	226140	57955
1592	226356	57832
1593	226564	57707
1594	226781	57584
1595	226987	57458
1596	227189	57330
1597	227393	57204
1598	227595	57076
1599	227798	56949
1600	228011	56824
1601	228220	56698
1602	228436	56574
1603	228650	56449
1604	228864	56324
1605	229083	56201
1606	229284	56072
1607	229503	55948
1608	229704	55820
1609	229924	55696
1610	230139	55570
1611	230376	55450
1612	230588	55324
1613	230807	55199
1614	231010	55070
1615	231228	54945
1616	231434	54817
1617	231643	54689
1618	231862	54564
1619	232065	54435
1620	232269	54306
1621	232463	54174
1622	232669	54045
1623	232868	53915
1624	233082	53788
1625	233280	53657
1626	233489	53528
1627	233693	53399
1628	233904	53271
1629	234135	53147
1630	234360	53022
1631	234572	52893
1632	234779	52764
1633	234990	52635
1634	235223	52511
1635	235438	52383
1636	235640	52252
1637	235877	52129
1638	236089	52000
1639	236310	51873
1640	236522	51743
1641	236724	51612
1642	236944	51484
1643	237163	51356
1644	237392	51230
1645	237605	51101
1646	237807	50969
1647	238033	50842
1648	238236	50710
1649	238461	50582
1650	238674	50452
1651	238910	50327
1652	239126	50197
1653	239336	50066
1654	239541	49934
1655	239751	49803
1656	239965	49672
1657	240169	49540
